Name des RZ (Recherche);Betreiber (Recherche);Eigentümer (Recherche);Sitz des Eigentümers (Recherche);Art des Eigentümers (Recherche);Art des RZ (Expertenmeinung);Status (Recherche);Wahrscheinlichkeit (%) (Expertenmeinung);Baustatus (Recherche);Region (Recherche);Metro region (Recherche);Stadt (Recherche);Postleitzahl (Recherche);Latitude;Longitude;Gesamtfläche Gebäude (m²) (Recherche);Fläche für IT (m²) (Recherche);Netzanschluss (kW) (Recherche);Stromkapazität für IT (kW) (Recherche);Geplante Inbetriebnahme (Recherche);Verifizierte Quelle 1;Verifizierte Quelle 2;Verifizierte Quelle 3;Verifizierte Quelle 4;Verifizierte Quelle 5;Verifizierte Quelle 6
Bedburg;Microsoft;Microsoft;United States;Operator;Hyperscale;under_construction;80;groundbreaking;Nordrhein-Westfalen;Rheinisches Revier/Köln;Bedburg;50181;50.99658712;6.54017257;180000;;173000;;;https://www.bft-enviri.de/projekt/gewerbegebiet-beb61/;https://www.bund-nrw.de/themen/braunkohle/strukturwandel-im-revier/stoppt-den-flaechenfrass-im-rheinischen-revier/;https://www.rheinisches-revier.de/service/neuigkeiten/detail/spatenstich-fuer-microsoft-rechenzentrums-cluster-im-rheinischen-revier;https://www.wirtschaft.nrw/spatenstich-fuer-die-microsoft-rechenzentren-im-rheinischen-revier-nordrhein-westfalen-wird;;
BER02;Maincubes;DTCP;Germany;Investor;Co-Location;under_construction;80;under_construction;Brandenburg;Berlin-Brandenburg;Nauen;14614;52.5935;12.8929999;15000;;186000;;2027-01-01;https://www.datacenter-insider.de/maincubes-expandiert-200-mw-datacenter-campus-in-nauen-geplant-a-1034bc09b98c18439eeb899cfcb5396a/?cflt=rdt;https://www.datacentermap.com/germany/berlin/maincubes-ber02/;https://www.maincubes.com/wp-content/uploads/2026/02/maincubes_factsheet_ber02_de.pdf;https://www.rbb24.de/wirtschaft/beitrag/2026/03/havelland-nauen-rechenzentrum-spatenstich-campus-umspannwerk-bau.html;;
BER2;Vantage Data Centers;Digital Bridge;United States;Investor;Co-Location;under_construction;50;under_construction;Brandenburg;Berlin;Mittenwalde;15749;52.26416425;13.57308023;;;;32000;;https://www.datacentermap.com/germany/berlin/vantage-ber2-berlin-ii-campus/specs/;https://vantage-dc.com/data-center-locations/emea/berlin-ii-germany/;;;;
Bergheim;Microsoft;Microsoft;United States;Operator;Hyperscale;under_construction;;groundbreaking;Nordrhein-Westfalen;Rheinisches Revier/Köln;Bergheim;50126;50.95849708;6.58979849;260000;;173000;;2028-01-01;https://www1.wdr.de/mediathek/audio/wdr5/wdr5-mittagsecho/audio-microsoft-baut-ki-rechenzentrum-in-nrw-100.html;https://www1.wdr.de/nrw/rheinland/bergheim-bedburg-elsdorf-microsoft-rechenzentrum-spatenstich-internet-ki-100.html;https://www.bund-nrw.de/themen/braunkohle/strukturwandel-im-revier/stoppt-den-flaechenfrass-im-rheinischen-revier/;https://www.rundschau-online.de/region/rhein-erft/elsdorf/elsdorf-microsoft-baut-weiteres-rechenzentrum-in-rhein-erft-2-1105971;;
Berlin 1;NorthC;Antin Infrastructure Partners;France;Investor;Co-Location;under_construction;80;under_construction;Berlin;Berlin;Berlin;10365;52.5317087;13.497792;;;7000;;2027-06-01;https://www.northcdatacenters.com/de/northc-datacenters/berlin-1/;;;;;
Berlin 1 & 2;Colt;Colt;United Kingdom;Operator;Co-Location;under_construction;80;under_construction;Berlin;Berlin;Herzberge;12681;52.52392538;13.52883837;;;;54000;2028-01-01;https://www.coltdatacentres.net/de-DE/press-releases/data-centres/2025/04/german-expansion;;;;;
Berlin 3;NTT Data;NTT;Japan;Operator;Co-Location;planned;60;planning;Brandenburg;Berlin-Brandenburg;Brieselang;14656;52.59645986;12.9733279;;;96000;;;https://www.gdc-im-dialog.de/berlin/berlin-3-data-center/default.aspx;https://www.gemeindebrieselang.de/Aktuelles/Verzoegerung-Baubeginn-fuer-Rechenzentrum-erst-Ende-2027-geplant.html;;;;
Berlin-Ragow;Unknown;Yondr;United Kingdom;Developer;Hyperscale;under_construction;80;under_construction;Brandenburg;Berlin;Mittenwalde;15749;52.2913672;13.55371215;;;;42000;;https://www.datacenterdynamics.com/en/news/yondr-plans-42mw-campus-in-berlin-germany/;;;;;
BEW Berliner Energie und Wärme GmbH Rummelsberg;Unknown;BEW Berliner Energie und Wärme GmbH;Germany;Utility;Co-Location;planned;20;planning;Berlin;Berlin;Rummelsberg;10317;52.48840999;13.49640945;;;40000;;2030-01-01;https://pardok.parlament-berlin.de/starweb/adis/citat/VT/19/SchrAnfr/S19-21924.pdf;https://karlshorst.de/2025/01/eine-muellverbrennung-durch-die-hintertuer/;;;;
Bischofsheim - Phase 2;Unknown;Yondr;United Kingdom;Developer;Hyperscale;planned;40;planning;Hessen;Frankfurt;Bischofsheim;65474;49.99039826;8.335899;;;20000;;;https://www.datacenter-insider.de/yondr-nimmt-20-megawatt-rechenzentrum-bei-frankfurt-in-betrieb-a-1bd7792b5526937374a74d67d19df77c/;;;;;
Blue Future Technologiegebiet;Unknown;FAB Gesellschaft für die Gebietsentwicklung;Germany;Developer;Co-Location;planned;20;planning;Thüringen;Wartburgkreis/Eisenach;Eisenach;99817;51.0025907;10.37242291;;;300000;;;https://www.eisenach.de/service/pressemitteilungen/pressemitteilung-im-detail/neues-rechenzentrum-oberbuergermeister-wirbt-fuer-investition/;https://www.datacenter-insider.de/flaeche-fuer-hyperscale-rechenzentrum-in-eisenach-a-6b0bf5a8b6f5c791c8db16cc49c0da98/;https://web.archive.org/web/20260606071823/https://eisenacher-aufbruch.de/wordpress/rechenzentrum-in-stockhausen-nein-danke/;;;
Bluestar Datacenter;;PREA Group GmbH;Germany;Developer;Co-Location;under_construction;10;under_construction;Berlin;Berlin;Berlin;10365;52.53155131;13.50987264;;;100000;;2028-01-01;https://www.entwicklungsstadt.de/vom-bundesgrundstueck-zum-rechenzentrum-der-aktuelle-stand-am-pyramidenring/;https://www.youtube.com/watch?v=Bptz8AZ5DaI;;;;
Brake;YEXIO;Palladio Partners;Germany;Investor;Co-Location;planned;60;planning;Niedersachsen;Weser-Ems;Brake;26919;53.3373687;8.46161381;;;;2000;2027-01-01;https://www.nwzonline.de/wesermarsch/nachhaltiges-rechenzentrum-hochtief-investiert-millionen-in-brake-bis-2027_a_4,1,4155056541.html;;;;;
Busdorf;Unknown;Uniq Land;Germany;Developer;Co-Location;planned;10;planning;Schleswig-Holstein;Schleswig/Flensburg;Busdorf;24866;54.47637276;9.54216847;;;150000;;2029-01-01;https://www.ndr.de/nachrichten/schleswig-holstein/rechenzentren-in-nordfriesland-das-planen-die-investoren,rechenzentrum-langenhorn-100.html;;;;;
Campus Hanau (Großauheim);Data4;Data4;France;Operator;Co-Location;under_construction;;under_construction;Hessen;Frankfurt;Hanau;63457;50.09562904;8.96338752;;;;180000;;https://www.hessenschau.de/wirtschaft/data4-legt-grundstein-in-hanau-entsteht-ein-mega-rechenzentrum-v2,grundsteinlegung-rechenzentrum-campus-hanau-100.html;;;;;
Campus in Höchst;Unknown;CloudHQ LLC;United States;Developer;Hyperscale;planned;60;planning;Hessen;Frankfurt am Main West;Höchst;65926;50.0912;8.5346;217000;;;276000;2027-12-31;https://www.entwicklungsstadt.de/bau-des-cloud-hq-rechenzentrums-in-frankfurt-hoechst-startet-2026/;;;;;
Campus Mehrum;Telis Energie;Carlyle Group;United States;Investor;Co-Location;planned;30;planning;Niedersachsen;Hannover;Mehrum;31249;52.31679798;10.09576679;;;500000;;2030-01-01;https://www.heise.de/news/US-Investor-plant-grosses-Rechenzentrum-in-Niedersachsen-11216481.html;https://www.computerbase.de/news/wirtschaft/milliardenprojekt-grosses-rechenzentrum-in-niedersachsen-geplant.96594/;https://www.ndr.de/nachrichten/niedersachsen/braunschweig_harz_goettingen/landkreis-peine-unternehmen-will-grosses-rechenzentrum-bauen,aktuellbraunschweig-2272.html;https://www.datacenterdynamics.com/en/news/telis-energie-deutschland-plans-500mw-data-center-in-lower-saxony-germany/;;
DataHall Halle (Saale);;Datahall GmbH;;;;;;planning;Sachsen-Anhalt;;Halle (Saale);06130;51.46113622;11.99090816;;;4000;;2027-06-01;https://www.datacenter-insider.de/datahall-plant-innovatives-energie-optimiertes-rechenzentrum-in-halle-a-0338de0998c5562544ef0ce798329506/;https://www.datacenterdynamics.com/en/news/germanys-datahall-plans-data-center-outside-leipzig/;https://datahall.de/;;;
dataR;dataR GmbH;X-Ion GmbH;Germany;Operator;Co-Location;under_construction;100;under_construction;Schleswig-Holstein;Hamburg;Rellingen;25462;53.63513694;9.87248008;2500;;6000;5000;2026-01-01;https://www.datacenter-insider.de/datar-bei-hamburg-steht-kurz-vor-dem-start-a-e2609ea7e64cdac3a1399a0e46fb9fa3/;https://www.ndr.de/nachrichten/schleswig-holstein/pinneberg_segeberg_stormarn/rechenzentrum-rellingen-ab-sommer-einsatzbereit,regionnorderstedtnews-1194.html;;;;
Dietzenbach;Google;Google;United States;Operator;Hyperscale;under_construction;100;under_construction;Hessen;Frankfurt;Dietzenbach;63128;50.0201638;8.79598976;45000;;;;2029-01-01;https://www.op-online.de/region/dietzenbach/google-investiert-in-rechenzentrum-dietzenbach-und-schafft-jobs-94036653.html;https://www.hessenschau.de/tv-sendung/google-baut-neues-rechenzentrum-in-dietzenbach,video-217370.html;https://www.dietzenbach.de/index.php?ModID=255&FID=3651.28294.1&object=tx%2C3651.6;;;
Digital Park Fechenheim;Digital Realty;Digital Realty Trust;United States;Investor;Co-Location;under_construction;80;under_construction;Hessen;Frankfurt;Frankfurt-Fechenheim;60386;50.12433602;8.74887678;90000;;;200000;2030-01-01;https://www.datacenter-insider.de/das-erste-denkmalgeschuetzte-grossrechenzentrum-a-908c3e27a44eaade90e5b526205b1303/;https://www.entwicklungsstadt.de/rechenzentren-auf-historischem-gelaende-baufortschritt-im-digitalpark-fechenheim/;;;;
Dorfen;YEXIO;Palladio Partners;Germany;Investor;Co-Location;under_construction;70;groundbreaking;Bayern;München;Dorfen;84405;48.2597625;12.15723301;7500;;;2000;2027-01-01;https://www.datacenter-insider.de/spatenstich-in-dorfen-hier-entsteht-das-dritte-yexio-rechenzentrum-a-82b1b0f4b2ba0b4b1a763ff913e784e7/?cflt=rdt;https://www.datacenter-insider.de/yexio-rechenzentrum-entsteht-in-dorfen-bei-muenchen-a-84ea1a922c090a4ac2e6f0775b26733a/?cflt=rel;https://www.dorfen.de/mitteilung/Spatenstich-YEXIO-Rechenzentrum-article3506;;;
Dummerstorf;Schwarz Digits, STACKIT;Freo Group;Germany;Developer;Hyperscale;planned;30;planning;Mecklenburg-Vorpommern;Rostock;Dummerstorf;18196;54.01754534;12.22256665;;;1200000;;;https://www.nordkurier.de/regional/mecklenburg-vorpommern/gigantisches-rechenzentrum-in-mv-milliarden-investition-kurz-vor-der-wahl-4792221;https://www.ndr.de/nachrichten/mecklenburg-vorpommern/rostock/dummerstorf-eines-der-weltweit-groessten-rechenzentren-geplant,mvregiorostock-1176.html;https://www.datacenter-insider.de/dummerstorf-und-das-12-gw-rechenzentrum-was-ist-an-den-geruechten-wirklich-dran-a-474c3ae2a55709c0f81b7347ea74ad8a/;;;
Elsdorf;Microsoft;Microsoft;United States;Operator;Hyperscale;planned;70;planning;Nordrhein-Westfalen;Rheinisches Revier/Köln;Elsdorf;50170;50.89671958;6.6408333;;;173000;;;https://www.heise.de/news/Deutsches-Riesen-Rechenzentrum-von-Microsoft-Azure-kann-520-Megawatt-verheizen-11216718.html;https://www.elsdorf.de/rathaus-service/verwaltung/aktuell/2419/microsoft-siedelt-sich-in-elsdorf-an;https://www.elsdorf.de/rathaus-service/verwaltung/aktuell/1973/bergheim-bedburg-und-elsdorf-holen-weltkonzern-microsoft-ins-rheinische-revier;;;
Engrida;Unknown;Wirth Gruppe;Germany;Developer;Co-Location;planned;20;planning;Baden-Württemberg;Rhein-Neckar / Karlsruhe;Philippsburg;76661;49.22551595;8.47041257;;;700000;;;https://www.energate-messenger.de/news/263093/philippsburg-wird-standort-fuer-rechenzentrum;https://www.swr.de/swraktuell/baden-wuerttemberg/karlsruhe/hyperscale-rechenzentrum-in-philippsburg-geplant-100.html;;;;
Finanzverwaltung NRW;Finanzverwaltung;Land NRW;Germany;Government;Government;under_construction;100;foundation_laid;Nordrhein-Westfalen;Düsseldorf/Köln;Kaarst;41564;51.21015477;6.63108595;37000;;;;2026-01-01;https://www.finanzverwaltung.nrw.de/dienststellen/rechenzentrum-der-finanzverwaltung-nrw/finanzverwaltung-baut-neues-rechenzentrum;;;;;
FRA II;Unknown;Goodman;Australia;Developer;Co-Location;under_construction;80;under_construction;Hessen;Frankfurt;Neu-Isenburg;63263;50.04287748;8.68595915;50000;;;54000;2026-01-01;https://www.op-online.de/region/neu-isenburg/88-tonnen-transformatoren-erreichen-die-goodmans-baustelle-94286899.html;https://www.lupp.de/richtfest-fuer-das-rechenzentrumsprojekt-fra02-substation-in-neu-isenburg;https://de.goodman.com/unsere-immobilien/immobilien-zu-vermieten/fra-ii;https://www.datacenter-insider.de/goodman-baut-54-mw-campus-fra-2-in-neu-isenburg-a-c2358ca23bacc0ea0927cdebfe492f00/;;
FRA01;;STACK Infrastructure;United States;;Hyperscale;under_construction;;under_construction;Hessen;Frankfurt;Liederbach am Taunus;65835;50.11484397;8.50546024;;;96000;;;;;;;;
FRA03;Unknown;CloudHQ LLC;United States;Developer;Hyperscale;planned;90;planning;Hessen;Frankfurt;Offenbach am Main;65929;50.0912157;8.53465973;;;;93000;2026-01-01;https://www.op-online.de/offenbach/offenbach-cloud-hq-an-rowentastrasse-geplant-neues-datenzentrum-in-93892276.html;;;;;
FRA11 and FRA12;EdgeConneX;EQT;Sweden;Investor;Hyperscale;under_construction;100;under_construction;Hessen;Frankfurt;Heusenstamm;63150;50.06444887;8.80049726;57000;;;;;https://www.op-online.de/region/heusenstamm/heusenstammer-stadtpolitiker-diskutieren-bebauungsplan-fuer-rechenzentren-93533027.html;https://www.heusenstamm.de/de/leben-und-wohnen/bauen-und-wohnen/in-heusenstamm-wird-gebaut/item/5430/9242/campus-neubau-zweier-rechenzentren;;;;
FRA2 - Frankfurt II Campus;Vantage;DigitalBridge;United States;Investor;Co-Location;under_construction;90;under_construction;Hessen;Frankfurt;Raunheim;65479;50.01272217;8.4612461;;45000;;56000;;https://vantage-dc.com/fr/data-center-locations/emea/frankfurt-ii-germany/;https://www.datacentermap.com/germany/frankfurt/vantage-fra2-frankfurt-ii/;;;;
